id,EquipmentName,fleet,type
438,R1011,ATLAS-COPCO PV 275,Drill
439,R1012,BUCYRUS E. 49R,Drill
440,R1013,BUCYRUS E. 49R,Drill
441,R1014,CAT MD6640,Drill
442,L5025,CAT 994F,Shovel
443,L5027,CAT 994F,Shovel
444,L5028,CAT 994H,Shovel
445,P5029,P&H 4100 PC,Shovel
446,P5030,P&H 4100 PC,Shovel
447,C3056,CAT 789C,Truck
448,C3057,CAT 789C,Truck
449,C3058,CAT 789C,Truck
450,C3059,CAT 789C,Truck
451,C3060,CAT 789C,Truck
452,C3061,CAT 789C,Truck
453,C3062,CAT 789C,Truck
454,C3063,CAT 789C,Truck
455,C3064,CAT 789C,Truck
456,C3065,CAT 789C,Truck
457,C3066,CAT 789C,Truck
458,C3067,CAT 789C,Truck
459,C3068,CAT 789C,Truck
460,C3069,CAT 789C,Truck
461,C3070,CAT 789D,Truck
462,C3071,CAT 789D,Truck
463,C3074,CAT 793F,Truck
464,C3075,CAT 793F,Truck
465,C3076,CAT 793F,Truck
466,C3077,CAT 793F,Truck
467,C3078,CAT 793F,Truck
468,C3079,CAT 793F,Truck
469,C3080,CAT 793F,Truck
470,C3081,CAT 793F,Truck
471,C3082,CAT 793F,Truck
472,C3083,CAT 793F,Truck
474,C3030,EUCLID R35,FuelTruck
475,C3072,KOMATSU 785-7WT,WaterTruck
476,C3073,KOMATSU 785-7WT,WaterTruck
477,M1007,CAT 16M,Grader
478,M1008,CAT 16M,Grader
479,T4021,CAT 834H,Dozer
480,T4022,CAT D9-R,Dozer
481,T4025,CAT D11-R,Dozer
482,T4026,CAT D11-R,Dozer
483,T4027,CAT 844H,Dozer
484,T4028,CAT D11-T,Dozer
485,T4029,CAT 844H,Dozer
486,M1006,CAT 16G,Grader
487,L5024,CAT 992G,AuxEquipment
488,R1007,BUCYRUS E. 47R,Drill
489,R1008,BUCYRUS E. 47R,Drill
490,R1009,BUCYRUS E. 47R,Drill
491,PD09,T450 GT,Drill
492,PD08,BOART LF90,Drill
493,L5026,CAT 992G,AuxEquipment
494,C3084,CAT 773G,AuxEquipment
495,C3085,CAT 773G,AuxEquipment
496,C3086,CAT 773G,AuxEquipment
497,TD7010,DC301R ,Drill
504,U_972,Dodge Ram,Supervisor
505,U_960,Ford 350,Supervisor
507,A_876,FORD 450,ExplosiveTruck
508,A_914,FORD 450,ExplosiveTruck
509,A_952,FORD 450,ExplosiveTruck
510,A_964,WESTERNSTAR,ExplosiveTruck
511,U_999,Dodge Ram,Supervisor
512,U_998,Dodge Ram,Supervisor
513,L6007,CAT 988,AuxEquipment
514,U_995,CRAFTER VW,Supervisor
515,U_912,Ford 350,ExplosiveTruck
516,U_954,Ford 350,ExplosiveTruck
517,U_965,Ford 350,ExplosiveTruck
518,R1015,CAT MD6540,Drill
519,L6008,966B,AuxEquipment
520,CAMION_MINATITLAN,TCEO,Manbus
521,CAMION_POBLADO,TCEO,Manbus
526,QUEBRADORA,CRUSHER,AuxEquipment
527,U_976,Dodge Ram,Supervisor
531,TRACSA_01,CAT D8T,Asset
532,CENTELLA,CAT D8T,Asset
533,U_839,Hiace,Supervisor
535,U_948,Ford E150,Supervisor
536,ATI_062,FREIGHTLINER,FuelTruck
537,ATI_061,FREIGHTLINER,FuelTruck
538,SEGEM,Hiace,Supervisor
540,T01_SECOPSA,KOMATSU 155AX,Asset
542,H01_SECOPSA,ATLAS COPCO D55,Asset
544,MST_01,Hiace,Supervisor
547,T4030,CAT D11-R,Dozer
548,T4031,CAT D11-T,Dozer
549,MST_14,Hiace,Supervisor
550,U_1002,Dodge Ram,Supervisor
551,C3088,CAT 793D,Truck
552,C3087,CAT 793D,Truck
553,MST_16,Hiace,Supervisor
554,CEMD,CAT 777G,Truck
555,LEMD,CAT 992G,Loader
556,U_1004,Dodge Ram,Supervisor
557,U_990,Dodge Ram,Supervisor
558,U_1014,Mitsubishi L200,Supervisor
559,ATI_072,FREIGHTLINER,FuelTruck
560,SECOPSA,DM45,Drill
561,0C357,CAT 777G,Truck
99994,Unknown Eqp,Unknown Fleet,Unknown Type
